order_id,customer_id,product_category,product_price,quantity,order_date,region,payment_method,delivery_days,is_returned,customer_rating,discount_percent,revenue
1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Beauty,190.4,5,2023-02-21,Europe,BankTransfer,8,f,3.8,0,952.0
2,23b8c1e9-3924-46de-beb1-3b9046685257,Fashion,82.22,3,2023-10-13,North America,CreditCard,5,f,3.8,0,246.66
3,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Beauty,15.19,2,2023-06-28,Oceania,Cash,6,t,2.0,10,27.34
4,972a8469-1641-4f82-8b9d-2434e465e150,Electronics,310.65,2,2023-07-11,Europe,PayPal,9,f,2.9,5,590.23
5,17fc695a-07a0-4a6e-8822-e8f36c031199,Fashion,74.05,4,2023-02-24,Africa,PayPal,3,t,3.1,20,236.96
6,9a1de644-815e-46d1-bb8f-aa1837f8a88b,Beauty,236.05,5,2025-05-09,Oceania,PayPal,5,f,3.4,5,1121.24
7,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Sports,471.39,2,2024-07-23,Africa,CreditCard,5,f,2.7,0,942.78
8,6b65a6a4-8b81-48f6-b38a-088ca65ed389,Automotive,343.22,4,2025-05-15,North America,BankTransfer,3,f,4.7,0,1372.88
9,47378190-96da-4dac-b2ff-5d2a386ecbe0,Home,332.95,2,2024-03-16,North America,BankTransfer,6,f,3.6,0,665.9
10,c241330b-01a9-471f-9e8a-774bcf36d58b,Electronics,484.94,2,2025-02-17,Europe,CreditCard,4,f,3.8,0,969.88
11,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Home,48.8,4,2024-06-25,Asia,CreditCard,8,f,4.5,0,195.2
12,371ecd7b-27cd-4130-8722-9389571aa876,Beauty,272.15,2,2023-09-13,South America,Cash,9,f,2.9,20,435.44
13,1a2a73ed-562b-4f79-8374-59eef50bea63,Electronics,12.74,1,2024-08-23,Africa,BankTransfer,8,f,2.0,10,11.47
14,5be6128e-18c2-4797-a142-ea7d17be3111,Toys,354.89,3,2023-05-23,North America,CreditCard,5,f,4.8,10,958.2
15,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Beauty,457.91,1,2024-08-15,North America,CreditCard,2,f,2.3,5,435.01
16,759cde66-bacf-43d0-8b1f-9163ce9ff57f,Automotive,336.08,5,2023-07-26,North America,Cash,8,f,2.8,10,1512.36
17,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Home,194.55,3,2025-01-17,South America,PayPal,7,f,4.3,10,525.29
18,4b0dbb41-8d52-48f1-942c-3fe860e7a113,Home,263.75,2,2024-03-05,Asia,BankTransfer,3,f,2.1,0,527.5
19,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Beauty,160.61,4,2023-05-27,Oceania,PayPal,7,f,3.8,15,546.07
20,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Toys,105.52,5,2024-05-16,Oceania,PayPal,3,f,2.5,0,527.6
21,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Sports,405.02,1,2024-07-06,South America,PayPal,4,f,4.7,0,405.02
22,fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Beauty,404.68,4,2023-04-25,Asia,PayPal,1,f,2.8,0,1618.72
23,ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,Automotive,5.26,5,2024-10-08,Europe,Cash,7,f,2.5,15,22.35
24,7412b293-4729-4739-a14f-f3d719db3ad0,Home,244.99,1,2024-03-08,Europe,BankTransfer,8,f,4.8,0,244.99
25,29a3b2e9-5d65-4441-9588-42dea2bc372f,Fashion,261.8,1,2025-10-19,Oceania,Cash,1,f,2.8,0,261.8
26,ab9099a4-35a2-40ae-9af3-05535ec42e08,Beauty,349.67,3,2023-10-20,South America,BankTransfer,1,f,5.0,0,1049.01
27,aefcfad8-efc8-4849-b3aa-7efe4458a885,Fashion,488.42,4,2024-06-22,North America,Cash,5,f,3.0,0,1953.68
28,a28defe3-9bf0-4273-9247-6f57a5e5a5ab,Toys,341.95,5,2025-01-11,South America,PayPal,6,f,2.7,0,1709.75
29,3eabedcb-baa8-4dd4-88bd-64072bcfbe01,Fashion,382.0,3,2025-10-07,Africa,CreditCard,6,f,3.1,0,1146.0
30,451b4cf3-6123-4df7-b656-af7229d4beef,Automotive,318.6,3,2023-08-13,Europe,PayPal,1,f,2.5,10,860.22
31,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Beauty,349.43,3,2025-05-14,North America,CreditCard,4,f,2.0,5,995.88
32,5304317f-af42-412f-b838-b3268e944239,Sports,117.12,4,2025-08-16,South America,BankTransfer,8,f,3.2,15,398.21
33,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Toys,73.07,4,2023-08-23,Europe,BankTransfer,2,f,4.8,10,263.05
34,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Automotive,119.412,5,2024-11-27,Oceania,CreditCard,9,f,3.5,0,597.06
35,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,Home,448.335,5,2023-11-20,South America,Cash,7,f,3.0,5,2129.59
36,9132b63e-f162-47e4-a9c3-49e03602f8ac,Electronics,364.35,3,2024-06-23,Oceania,PayPal,6,f,4.3,15,929.09
37,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Toys,46.65,4,2024-09-03,Europe,PayPal,4,f,3.7,15,158.61
38,e27a984d-6548-41d0-bfcd-9eb1a7cad415,Fashion,423.333,2,2023-11-27,Asia,CreditCard,2,f,3.5,0,846.67
39,24933b83-7577-40a9-a491-f0b2ea1fca65,Toys,497.26,4,2025-09-27,Asia,CreditCard,1,f,3.5,10,1790.14
40,beb79919-3f22-4af8-a3be-d01d43cf2fde,Electronics,186.4,3,2024-09-21,Asia,PayPal,1,f,3.6,5,531.24
41,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Electronics,319.98,5,2023-06-11,North America,CreditCard,8,f,3.9,0,1599.9
42,956269f0-e5d7-4875-adad-d6c795a76d79,Beauty,253.81,4,2023-05-22,South America,PayPal,1,f,2.6,5,964.48
